UID,SITE,FID_fishnet_lap_201807_site04,TotalFishnetArea_1,Area_ha_drone,Area_ha_CONABIO,Area_ha_GMW,Area_ha_dCONABIO,Area_ha_dGMW,Area_ha_union_dCONABIO,Area_ha_union_dGMW
98,psc_201805_site08,97.000,0.842,0.009,0.100,0.125,0.009,0.009,0.100262359,0.124622393
99,psc_201805_site08,98.000,1.000,0.635,0.948,0.969,0.635,0.635,0.948410864,0.969082397
100,psc_201805_site08,99.000,1.000,0.866,1.000,1.000,0.866,0.866,1,1
101,psc_201805_site08,100.000,1.000,0.999,1.000,1.000,0.999,0.999,1,1
102,psc_201805_site08,101.000,1.000,0.998,1.000,1.000,0.998,0.998,1,1
103,psc_201805_site08,102.000,1.000,0.971,1.000,1.000,0.971,0.971,1,1
104,psc_201805_site08,103.000,1.000,0.750,0.938,1.000,0.746,0.750,0.941938382,1
105,psc_201805_site08,104.000,1.000,0.549,0.651,1.000,0.547,0.549,0.652759669,1
106,psc_201805_site08,105.000,1.000,0.794,0.850,0.961,0.788,0.794,0.855893144,0.960572439
107,psc_201805_site08,106.000,1.000,0.617,0.608,0.794,0.590,0.617,0.635237902,0.79446362
108,psc_201805_site08,107.000,0.869,0.487,0.700,0.807,0.482,0.485,0.70509742,0.809171822
109,psc_201805_site08,108.000,0.067,0.002,0.009,0.009,0.002,0.002,0.009041738,0.009041738
110,psc_201805_site08,109.000,0.422,0.000,0.000,0.000,0.000,0.000,1.94378E-05,1.94378E-05
111,psc_201805_site08,110.000,1.000,0.552,0.922,0.927,0.551,0.551,0.922619178,0.92825636
112,psc_201805_site08,111.000,1.000,0.682,1.000,1.000,0.682,0.682,1,1
113,psc_201805_site08,112.000,1.000,0.990,1.000,1.000,0.990,0.990,1,1
114,psc_201805_site08,113.000,1.000,0.993,1.000,1.000,0.993,0.993,1,1
115,psc_201805_site08,114.000,1.000,0.995,1.000,1.000,0.995,0.995,1,1
116,psc_201805_site08,115.000,1.000,0.883,1.000,1.000,0.883,0.883,1,1
117,psc_201805_site08,116.000,1.000,0.997,1.000,1.000,0.997,0.997,1,1
118,psc_201805_site08,117.000,1.000,0.673,0.705,0.750,0.665,0.671,0.713251725,0.751929814
119,psc_201805_site08,118.000,0.999,0.201,0.253,0.263,0.198,0.198,0.255497075,0.266162486
120,psc_201805_site08,119.000,0.509,0.003,0.038,0.039,0.003,0.003,0.038338163,0.039008529
121,psc_201805_site08,122.000,0.909,0.036,0.184,0.248,0.036,0.036,0.183806052,0.24768791
122,psc_201805_site08,123.000,1.000,0.797,0.898,0.908,0.797,0.797,0.897865092,0.907855789
123,psc_201805_site08,124.000,1.000,0.998,1.000,1.000,0.998,0.998,1,1
124,psc_201805_site08,125.000,1.000,0.961,1.000,1.000,0.961,0.961,1,1
125,psc_201805_site08,126.000,1.000,0.902,1.000,1.000,0.902,0.902,1,1
126,psc_201805_site08,127.000,1.000,0.946,0.983,1.000,0.945,0.946,0.983607308,1
127,psc_201805_site08,128.000,1.000,0.364,0.413,0.569,0.360,0.364,0.416900014,0.569070082
128,psc_201805_site08,129.000,0.837,0.002,0.007,0.007,0.002,0.002,0.006668589,0.006668589
129,psc_201805_site08,134.000,0.271,0.000,0.002,0.052,0.000,0.000,0.001910757,0.052094041
130,psc_201805_site08,135.000,0.992,0.492,0.719,0.801,0.464,0.485,0.746884609,0.807908451
131,psc_201805_site08,136.000,1.000,0.732,1.000,1.000,0.732,0.732,1,1
132,psc_201805_site08,137.000,1.000,0.803,1.000,1.000,0.803,0.803,1,1
133,psc_201805_site08,138.000,1.000,0.836,0.977,0.977,0.834,0.835,0.978031735,0.978320262
134,psc_201805_site08,139.000,0.989,0.324,0.313,0.412,0.270,0.280,0.366104204,0.455989423
135,psc_201805_site08,147.000,0.532,0.307,0.440,0.532,0.307,0.307,0.440457096,0.532055523
136,psc_201805_site08,148.000,1.000,0.974,1.000,1.000,0.974,0.974,1,1
137,psc_201805_site08,149.000,1.000,0.938,0.998,1.000,0.938,0.938,0.997753712,1
138,psc_201805_site08,150.000,0.970,0.346,0.380,0.719,0.239,0.292,0.487112469,0.773425697
139,psc_201805_site08,159.000,0.016,0.000,0.014,0.016,0.000,0.000,0.014364254,0.016474775
140,psc_201805_site08,160.000,0.756,0.461,0.647,0.684,0.455,0.460,0.65296747,0.685445999
141,psc_201805_site08,161.000,0.929,0.277,0.244,0.636,0.190,0.258,0.330679873,0.655518183
142,psc_201805_site08,6.000,0.558,0.000,0.000,0.047,0.000,0.000,0,0.047043497
143,psc_201805_site08,52.000,0.188,0.000,0.000,0.001,0.000,0.000,0,0.000731352
144,psc_201805_site08,73.000,0.677,0.008,0.000,0.135,0.000,0.008,0.007929401,0.134965202
145,psc_201805_site08,93.000,0.975,0.183,0.000,0.256,0.000,0.006,0.18252068,0.43291927
146,psc_201805_site08,94.000,0.734,0.044,0.000,0.033,0.000,0.000,0.044499138,0.076960226
147,psc_201805_site08,95.000,0.147,0.000,0.000,0.005,0.000,0.000,0,0.004905295
148,psc_201805_site08,121.000,0.041,0.000,0.000,0.006,0.000,0.000,0,0.006362984
149,psc_201805_site08,140.000,0.394,0.001,0.000,0.019,0.000,0.000,0.001090691,0.019769075
150,psc_201805_site08,151.000,0.318,0.102,0.000,0.258,0.000,0.000,0.101654424,0.272685209
151,psc_201805_site08,162.000,0.242,0.046,0.000,0.158,0.000,0.043,0.65296747,0.161456816
152,psc_2018_05_site12,10.000,0.824,0.000,0.406,0.666,0.000,0.000,0.406,0.666
153,psc_2018_05_site12,11.000,1.000,0.000,0.585,0.971,0.000,0.000,0.585,0.971
154,psc_2018_05_site12,12.000,1.000,0.000,0.196,0.899,0.000,0.000,0.196,0.899
155,psc_2018_05_site12,16.000,0.476,0.107,0.135,0.284,0.087,0.106,0.154,0.286
156,psc_2018_05_site12,17.000,1.000,0.182,0.494,0.820,0.179,0.182,0.498,0.820
157,psc_2018_05_site12,18.000,1.000,0.029,0.793,0.990,0.024,0.029,0.798,0.990
158,psc_2018_05_site12,19.000,1.000,0.000,0.230,0.506,0.000,0.000,0.230,0.506
159,psc_2018_05_site12,23.000,0.966,0.215,0.299,0.378,0.199,0.215,0.315,0.378
160,psc_2018_05_site12,24.000,1.000,0.902,0.945,1.000,0.866,0.902,0.980,1.000
161,psc_2018_05_site12,25.000,1.000,0.102,0.018,0.323,0.018,0.102,0.102,0.323
162,psc_2018_05_site12,30.000,1.000,0.650,0.723,0.885,0.612,0.650,0.761,0.885
163,psc_2018_05_site12,31.000,1.000,0.896,0.750,0.935,0.736,0.891,0.911,0.940
164,psc_2018_05_site12,32.000,0.974,0.036,0.002,0.084,0.002,0.034,0.036,0.085
165,psc_2018_05_site12,36.000,0.737,0.019,0.064,0.261,0.019,0.019,0.064,0.261
166,psc_2018_05_site12,37.000,1.000,0.710,0.666,0.886,0.526,0.698,0.850,0.898
167,psc_2018_05_site12,43.000,0.893,0.205,0.218,0.353,0.137,0.202,0.286,0.356
168,psc_2018_05_site12,44.000,0.998,0.206,0.079,0.216,0.056,0.167,0.229,0.256
169,psc_2018_05_site12,3.000,0.220,0.000,0.000,0.074,0.000,0.000,0.000,0.074
170,psc_2018_05_site12,4.000,0.848,0.000,0.000,0.119,0.000,0.000,0.000,0.119
171,psc_2018_05_site12,5.000,0.754,0.000,0.000,0.094,0.000,0.000,0.000,0.094
172,psc_2018_05_site12,6.000,0.668,0.000,0.000,0.114,0.000,0.000,0.000,0.114
173,psc_2018_05_site12,13.000,0.969,0.000,0.000,0.280,0.000,0.000,0.000,0.280
174,psc_2018_05_site12,26.000,0.798,0.000,0.000,0.001,0.000,0.000,0.000,0.001
175,psc_2018_05_site12,27.000,0.023,0.000,0.000,0.002,0.000,0.000,0.000,0.002
176,psc_2018_05_site12,29.000,0.453,0.000,0.000,0.039,0.000,0.000,0.000,0.039
177,psc_2018_05_site12,38.000,0.991,0.030,0.000,0.047,0.000,0.007,0.030,0.070
178,psc_2018_05_site12,50.000,0.301,0.013,0.000,0.204,0.000,0.013,0.013,0.204
179,psc_2018_05_site12,51.000,0.306,0.000,0.000,0.032,0.000,0.000,0.000,0.032
180,lap_201807_site05,2.000,0.910,0.243,0.428,0.489,0.212,0.222,0.458661879,0.509
181,lap_201807_site05,3.000,0.763,0.075,0.735,0.735,0.075,0.075,0.735277325,0.735
182,lap_201807_site05,4.000,0.208,0.000,0.070,0.070,0.000,0.000,0.070349345,0.070
183,lap_201807_site05,7.000,1.000,0.628,0.713,0.713,0.628,0.628,0.713619816,0.714
184,lap_201807_site05,8.000,1.000,0.872,1.000,1.000,0.872,0.872,0.999999614,1.000
185,lap_201807_site05,9.000,0.778,0.249,0.606,0.628,0.249,0.249,0.605748562,0.628
186,lap_201807_site05,12.000,1.000,0.162,0.162,0.248,0.110,0.159,0.21421736,0.252
187,lap_201807_site05,13.000,1.000,0.867,0.923,0.958,0.832,0.857,0.958210052,0.968
188,lap_201807_site05,14.000,0.891,0.475,0.738,0.793,0.475,0.475,0.738317751,0.793
189,lap_201807_site05,18.000,1.000,0.253,0.146,0.232,0.087,0.157,0.312006186,0.328
190,lap_201807_site05,19.000,0.734,0.124,0.108,0.188,0.096,0.105,0.13524151,0.207
191,lap_201807_site05,11.000,0.778,0.031,0.000,0.171,0.000,0.017,0.03090335,0.185
