ID,Area_total,Area_overlap,Area_CONABIO,Area_GMW_calculated,Area_not_overlapped,Percent_overlap,Area_JCONABIO,Area_JGMW,Difference_JArea,%conabio_total,%GMW_total
1329,1.643794895,0,0,1.643794895,1.643794895,0,0,1.643794895,-1.643794895,0,1
1335,0.343717884,0,0,0.343717884,0.343717884,0,0,0.343717884,-0.343717884,0,1
1336,2.860799605,0,0,2.860799605,2.860799605,0,0,2.860799605,-2.860799605,0,1
1338,2.654675951,0,0,2.654675951,2.654675951,0,0,2.654675951,-2.654675951,0,1
1339,0.132593129,0,0,0.132593129,0.132593129,0,0,0.132593129,-0.132593129,0,1
1347,0.051028964,0,0,0.051028964,0.051028964,0,0,0.051028964,-0.051028964,0,1
1348,0.652869061,0,0,0.652869061,0.652869061,0,0,0.652869061,-0.652869061,0,1
1360,0.163226667,0,0,0.163226667,0.163226667,0,0,0.163226667,-0.163226667,0,1
1366,0.380802265,0,0,0.380802265,0.380802265,0,0,0.380802265,-0.380802265,0,1
1371,1.08E-05,0,0,1.08E-05,1.08E-05,0,0,1.08E-05,-1.08E-05,0,1
1384,0.040004932,0,0,0.040004932,0.040004932,0,0,0.040004932,-0.040004932,0,1
1387,6.541726185,0,0,6.541726185,6.541726185,0,0,6.541726185,-6.541726185,0,1
1400,0.091162348,0,0,0.091162348,0.091162348,0,0,0.091162348,-0.091162348,0,1
1401,3.438336981,0,0,3.438336981,3.438336981,0,0,3.438336981,-3.438336981,0,1
1404,0.02411073,0,0,0.02411073,0.02411073,0,0,0.02411073,-0.02411073,0,1
1408,0.527333631,0,0,0.527333631,0.527333631,0,0,0.527333631,-0.527333631,0,1
1418,0.326306651,0,0,0.326306651,0.326306651,0,0,0.326306651,-0.326306651,0,1
1420,0.435031756,0,0,0.435031756,0.435031756,0,0,0.435031756,-0.435031756,0,1
1421,2.008991295,0,0,2.008991295,2.008991295,0,0,2.008991295,-2.008991295,0,1
1434,0.069006424,0,0,0.069006424,0.069006424,0,0,0.069006424,-0.069006424,0,1
1435,0.43502236,0,0,0.43502236,0.43502236,0,0,0.43502236,-0.43502236,0,1
1447,0.543702161,0,0,0.543702161,0.543702161,0,0,0.543702161,-0.543702161,0,1
1451,0.001031159,0,0,0.001031159,0.001031159,0,0,0.001031159,-0.001031159,0,1
1452,3.611016877,0,0,3.611016877,3.611016877,0,0,3.611016877,-3.611016877,0,1
1455,0.427633035,0,0,0.427633035,0.427633035,0,0,0.427633035,-0.427633035,0,1
1456,0.04654463,0,0,0.04654463,0.04654463,0,0,0.04654463,-0.04654463,0,1
1457,0.543554932,0,0,0.543554932,0.543554932,0,0,0.543554932,-0.543554932,0,1
1458,0.47080763,0,0,0.47080763,0.47080763,0,0,0.47080763,-0.47080763,0,1
1459,0.670524301,0,0,0.670524301,0.670524301,0,0,0.670524301,-0.670524301,0,1
1460,0.054342636,0,0,0.054342636,0.054342636,0,0,0.054342636,-0.054342636,0,1
1461,1.44707507,0,0,1.44707507,1.44707507,0,0,1.44707507,-1.44707507,0,1
1462,0.563164088,0,0,0.563164088,0.563164088,0,0,0.563164088,-0.563164088,0,1
1463,2.77909316,0,0,2.77909316,2.77909316,0,0,2.77909316,-2.77909316,0,1
1464,0.784403097,0,0,0.784403097,0.784403097,0,0,0.784403097,-0.784403097,0,1
1465,9.824729083,0,0,9.824729083,9.824729083,0,0,9.824729083,-9.824729083,0,1
1466,1.22452156,0,0,1.22452156,1.22452156,0,0,1.22452156,-1.22452156,0,1
1467,1.843823851,0,0,1.843823851,1.843823851,0,0,1.843823851,-1.843823851,0,1
1468,0.704744445,0,0,0.704744445,0.704744445,0,0,0.704744445,-0.704744445,0,1
1469,5.018329751,0,0,5.018329751,5.018329751,0,0,5.018329751,-5.018329751,0,1
1470,3.977482847,0,0,3.977482847,3.977482847,0,0,3.977482847,-3.977482847,0,1
1471,6.287796848,0,0,6.287796848,6.287796848,0,0,6.287796848,-6.287796848,0,1
1472,2.222254005,0,0,2.222254005,2.222254005,0,0,2.222254005,-2.222254005,0,1
1473,2.170892665,0,0,2.170892665,2.170892665,0,0,2.170892665,-2.170892665,0,1
1474,2.09527446,0,0,2.09527446,2.09527446,0,0,2.09527446,-2.09527446,0,1
1475,0.018572395,0,0,0.018572395,0.018572395,0,0,0.018572395,-0.018572395,0,1
1476,0.33441665,0,0,0.33441665,0.33441665,0,0,0.33441665,-0.33441665,0,1
1477,1.994447356,0,0,1.994447356,1.994447356,0,0,1.994447356,-1.994447356,0,1
1478,9.344345047,0,0,9.344345047,9.344345047,0,0,9.344345047,-9.344345047,0,1
1479,1.874862705,0,0,1.874862705,1.874862705,0,0,1.874862705,-1.874862705,0,1
1480,2.911507361,0,0,2.911507361,2.911507361,0,0,2.911507361,-2.911507361,0,1
